Title,Price,Neighbourhood,City,Building Area,Land Area,Bedrooms,Bathrooms
Marlborough - House,"USD 350,000",Marlborough,harare west,,4680 m²,3 bedrooms,2 bathrooms
Maridale - House,"USD 60,000",Maridale,norton,,200 m²,5 bedrooms,2 bathrooms
Borrowdale - House,"USD 1,190,000",Borrowdale,harare north,,4001 m²,6 bedrooms,4 bathrooms
Mabvazuva - House,"USD 85,000",Mabvazuva,ruwa,,400 m²,4 bedrooms,3 bathrooms
Pomona - Townhouse Complex,"USD 190,000",Pomona,harare north,,275 m²,3 bedrooms,2 bathrooms
Glen Lorne - House,"USD 870,000",Glen Lorne,harare north,,8200 m²,7 bedrooms,
Arlington - Townhouse Complex,"USD 200,000",Arlington,harare south,,647 m²,3 bedrooms,2 bathrooms
Famona - House,"USD 195,000",Famona,bulawayo south,,1300 m²,3 bedrooms,1 bathrooms
Daylesford - House,"USD 140,000",Daylesford,gweru,,4085 m²,5 bedrooms,2 bathrooms
Arcadia - House,"USD 90,000",Arcadia,harare south,,678 m²,4 bedrooms,2 bathrooms
Borrowdale Brooke - House,"USD 1,950,000",Borrowdale Brooke,harare north,,5063 m²,5 bedrooms,4 bathrooms
Greendale North - House,"USD 380,000",Greendale North,harare north,,2700 m²,4 bedrooms,3 bathrooms
Crowhill Views - House,"USD 50,000",Crowhill Views,harare north,,1000 m²,3 bedrooms,3 bathrooms
Arlington - House,"USD 290,000",Arlington,harare south,,650 m²,4 bedrooms,3 bathrooms
Greendale - Townhouse Complex,"USD 221,000",Greendale,harare east,,8000 m²,3 bedrooms,2 bathrooms
Bloomingdale - Townhouse Complex,"USD 115,000",Bloomingdale,harare west,,450 m²,4 bedrooms,2 bathrooms
Carrick Creagh - House,"USD 650,000",Carrick Creagh,harare north,,2000 m²,5 bedrooms,4 bathrooms
Mount Pleasant - Townhouse Complex,"USD 220,000",Mount Pleasant,harare north,,296 m²,3 bedrooms,2 bathrooms
Mount Pleasant - House,"USD 450,000",Mount Pleasant,harare north,,4000 m²,4 bedrooms,2 bathrooms
Fairbridge Park - House,"USD 420,000",Fairbridge Park,mutare,,6311 m²,6 bedrooms,4 bathrooms
Hogerty Hill - House,"USD 450,000",Hogerty Hill,harare north,,9500 m²,3 bedrooms,2 bathrooms
Glen Lorne - House,"USD 520,000",Glen Lorne,harare north,,4685 m²,4 bedrooms,4 bathrooms
Cowdray Park - House,"USD 28,000",Cowdray Park,bulawayo high density,,200 m²,4 bedrooms,2 bathrooms
