Date,Title,Price (USD),Neighbourhood,City,Building Area (sqm),Land Area (sqm),Bedrooms,Bathrooms
2025-09-06 00:09:26,Marlborough - House,350000,Marlborough,harare west,,4680,3,2
2025-09-06 00:09:26,Maridale - House,60000,Maridale,norton,,200,5,2
2025-09-06 00:09:26,Borrowdale - House,1190000,Borrowdale,harare north,,4001,6,4
2025-09-06 00:09:26,Mabvazuva - House,85000,Mabvazuva,ruwa,,400,4,3
2025-09-06 00:09:26,Pomona - Townhouse Complex,190000,Pomona,harare north,,275,3,2
2025-09-06 00:09:26,Glen Lorne - House,870000,Glen Lorne,harare north,,8200,7,
2025-09-06 00:09:26,Arlington - Townhouse Complex,200000,Arlington,harare south,,647,3,2
2025-09-06 00:09:26,Famona - House,195000,Famona,bulawayo south,,1300,3,1
2025-09-06 00:09:26,Daylesford - House,140000,Daylesford,gweru,,4085,5,2
2025-09-06 00:09:26,Arcadia - House,90000,Arcadia,harare south,,678,4,2
2025-09-06 00:09:26,Borrowdale Brooke - House,1950000,Borrowdale Brooke,harare north,,5063,5,4
2025-09-06 00:09:26,Greendale North - House,380000,Greendale North,harare north,,2700,4,3
2025-09-06 00:09:26,Crowhill Views - House,50000,Crowhill Views,harare north,,1000,3,3
2025-09-06 00:09:26,Arlington - House,290000,Arlington,harare south,,650,4,3
2025-09-06 00:09:26,Greendale - Townhouse Complex,221000,Greendale,harare east,,8000,3,2
2025-09-06 00:09:26,Bloomingdale - Townhouse Complex,115000,Bloomingdale,harare west,,450,4,2
2025-09-06 00:09:26,Carrick Creagh - House,650000,Carrick Creagh,harare north,,2000,5,4
2025-09-06 00:09:26,Mount Pleasant - Townhouse Complex,220000,Mount Pleasant,harare north,,296,3,2
2025-09-06 00:09:26,Mount Pleasant - House,450000,Mount Pleasant,harare north,,4000,4,2
2025-09-06 00:09:26,Fairbridge Park - House,420000,Fairbridge Park,mutare,,6311,6,4
2025-09-06 00:09:26,Hogerty Hill - House,450000,Hogerty Hill,harare north,,9500,3,2
2025-09-06 00:09:26,Glen Lorne - House,520000,Glen Lorne,harare north,,4685,4,4
2025-09-06 00:09:26,Cowdray Park - House,28000,Cowdray Park,bulawayo high density,,200,4,2
2025-09-06 00:09:26,Sunway City - House,85000,Sunway City,harare east,,2100,3,2
2025-09-06 00:09:26,Glen Lorne - Townhouse Complex,460000,Glen Lorne,harare north,,4000,3,3
2025-09-06 00:09:26,Hogerty Hill - House,520000,Hogerty Hill,harare north,,2691,6,6
2025-09-06 00:09:26,Eastlea - House,350000,Eastlea,harare east,,1555,5,3
2025-09-06 00:09:26,Newlands - House,995000,Newlands,harare north,,7783,6,4
2025-09-06 00:09:26,Carrick Creagh - Townhouse Complex,448000,Carrick Creagh,harare north,,600,4,2
2025-09-06 00:09:26,Philadelphia - House,800000,Philadelphia,harare north,,21853,5,2
2025-09-06 00:09:26,Borrowdale - House,550000,Borrowdale,harare north,,5200,4,
2025-09-06 00:09:26,Amby - House,150000,Amby,harare east,,1000,3,1
2025-09-06 00:09:26,Manresa - House,125000,Manresa,harare east,,800,4,2
2025-09-06 00:09:26,Chimanimani - House,60000,Chimanimani,chimanimani,,2879,2,1
2025-09-06 00:09:26,Hillside - House,230000,Hillside,harare south,,3294,3,
2025-09-06 00:09:26,Bluff Hill - Townhouse Complex,165000,Bluff Hill,harare west,,1050,3,2
2025-09-06 00:09:26,Damofalls - House,65000,Damofalls,damofalls,,301,3,3
2025-09-06 00:09:26,Greendale North - House,400000,Greendale North,harare north,,4000,5,3
2025-09-06 00:09:26,Mabvazuva - House,150000,Mabvazuva,ruwa,,400,4,3
2025-09-06 00:09:26,Rockview - House,150000,Rockview,harare east,,1739,6,1
2025-09-06 00:09:26,Famona - House,125000,Famona,bulawayo south,,1821,3,1
2025-09-06 00:09:26,Old Windsor - House,200000,Old Windsor,ruwa,,6000,5,3
2025-09-06 00:09:26,Borrowdale - Townhouse Complex,360000,Borrowdale,harare north,,4505,5,3
2025-09-06 00:09:26,Chitungwiza - House,32000,Chitungwiza,chitungwiza,,300,5,2
2025-09-06 00:09:26,New Marlborough - House,100000,New Marlborough,harare west,,540,3,2
2025-09-06 00:09:26,Hatfield - House,215000,Hatfield,harare south,,4134,5,2
2025-09-06 00:09:26,Zimre Park - House,75000,Zimre Park,harare east,,670,5,2
2025-09-06 00:09:26,Greendale - House,300000,Greendale,harare east,,4000,6,3
2025-09-06 00:09:26,Manyame Park - House,35000,Manyame Park,chitungwiza,,200,3,2
2025-09-06 00:09:26,Mt Pleasant Heights - House,450000,Mt Pleasant Heights,harare west,,2160,7,6
2025-09-06 00:09:26,Belvedere - House,280000,Belvedere,harare west,,1649,3,2
2025-09-06 00:09:26,Pomona - House,590000,Pomona,harare north,,1395,4,1
2025-09-06 00:09:26,Marlborough - House,275000,Marlborough,harare west,,4053,5,3
2025-09-06 00:09:26,Ryelands - Townhouse Complex,365000,Ryelands,harare north,,,4,4
2025-09-06 00:09:26,Nyanga - House,280000,Nyanga,nyanga,,44515,3,2
2025-09-06 00:09:26,Galloway - House,45000,Galloway,norton,,2200,3,
2025-09-06 00:09:26,Aspindale Park - House,100000,Aspindale Park,harare west,,200,4,2
2025-09-06 00:09:26,Hogerty Hill - House,1200000,Hogerty Hill,harare north,,16187,5,
2025-09-06 00:09:26,Tiger's Kloof - House,490000,Tiger's Kloof,mutare,,18617,3,3
2025-09-06 00:09:26,Gunhill - House,475000,Gunhill,harare north,,2774,4,2
2025-09-06 00:09:26,Chiredzi - House,22000,Chiredzi,chiredzi,,340,2,
2025-09-06 00:09:26,Mandara - House,320000,Mandara,harare east,,4047,4,
2025-09-06 00:09:26,Zengeza - House,38000,Zengeza,chitungwiza,,300,3,2
2025-09-06 00:09:26,Borrowdale - Townhouse Complex,650000,Borrowdale,harare north,,4000,7,3
2025-09-06 00:09:26,Avenues - Townhouse Complex,190000,Avenues,harare cbd,,200,3,2
2025-09-06 00:09:26,Greendale - Townhouse Complex,220000,Greendale,harare east,,450,3,2
2025-09-06 00:09:26,Hogerty Hill - House,1200000,Hogerty Hill,harare north,,16187,5,
2025-09-06 00:09:26,Mount Pleasant - House,1500000,Mount Pleasant,harare north,,4051,6,6
2025-09-06 00:09:26,Vainona - House,750000,Vainona,harare north,,5099,3,2
2025-09-06 00:09:26,Glaudina - House,70000,Glaudina,harare west,,300,5,
2025-09-06 00:09:26,Rockview - House,45000,Rockview,harare east,,1000,3,1
2025-09-06 00:09:26,Glen Lorne - House,405000,Glen Lorne,harare north,,2000,3,3
2025-09-06 00:09:26,Dzivarasekwa - House,50000,Dzivarasekwa,harare high density,,300,5,2
2025-09-06 00:09:26,Damofalls - House,50000,Damofalls,damofalls,,300,3,2
2025-09-06 00:09:26,Arlington - House,280000,Arlington,harare south,,500,3,2
2025-09-06 00:09:26,Marlborough - House,250000,Marlborough,harare west,,4400,3,2
2025-09-06 00:09:26,Glaudina - House,55000,Glaudina,harare west,,300,3,2
2025-09-06 00:09:26,Helensvale - House,550000,Helensvale,harare north,,2029,5,5
2025-09-06 00:09:26,Beitbridge - House,220000,Beitbridge,beitbridge,,2508,4,2
2025-09-06 00:09:26,Zimre Park - House,70000,Zimre Park,harare east,,570,3,2
2025-09-06 00:09:26,Fidelity - House,65000,Fidelity,harare south,,240,3,1
2025-09-06 00:09:26,Palmerston - House,110000,Palmerston,mutare,,1395,3,2
2025-09-06 00:09:26,Mount Pleasant - House,360000,Mount Pleasant,harare north,,2000,3,1
2025-09-06 00:09:26,Greendale - House,390000,Greendale,harare east,,390000,4,3
2025-09-06 00:09:26,The Grange - House,350000,The Grange,harare north,,2280,5,3
